,Provincias,Edad (3 grupos de edad),Españoles/Extranjeros,Sexo,Año,Total,id
180,Albacete,0-15 años,TOTAL,Ambos sexos,2021,57.551,02
181,Albacete,0-15 años,TOTAL,Ambos sexos,2020,58.568,02
182,Albacete,0-15 años,TOTAL,Ambos sexos,2019,59.463,02
183,Albacete,0-15 años,TOTAL,Hombres,2021,29.756,02
184,Albacete,0-15 años,TOTAL,Hombres,2020,30.424,02
185,Albacete,0-15 años,TOTAL,Hombres,2019,30.791,02
186,Albacete,0-15 años,TOTAL,Mujeres,2021,27.795,02
187,Albacete,0-15 años,TOTAL,Mujeres,2020,28.144,02
188,Albacete,0-15 años,TOTAL,Mujeres,2019,28.672,02
189,Albacete,0-15 años,Españoles,Ambos sexos,2021,52.851,02
190,Albacete,0-15 años,Españoles,Ambos sexos,2020,53.932,02
191,Albacete,0-15 años,Españoles,Ambos sexos,2019,55.028,02
192,Albacete,0-15 años,Españoles,Hombres,2021,27.304,02
193,Albacete,0-15 años,Españoles,Hombres,2020,27.979,02
194,Albacete,0-15 años,Españoles,Hombres,2019,28.513,02
195,Albacete,0-15 años,Españoles,Mujeres,2021,25.547,02
196,Albacete,0-15 años,Españoles,Mujeres,2020,25.953,02
197,Albacete,0-15 años,Españoles,Mujeres,2019,26.515,02
198,Albacete,0-15 años,Extranjeros,Ambos sexos,2021,4.700,02
199,Albacete,0-15 años,Extranjeros,Ambos sexos,2020,4.636,02
200,Albacete,0-15 años,Extranjeros,Ambos sexos,2019,4.435,02
201,Albacete,0-15 años,Extranjeros,Hombres,2021,2.452,02
202,Albacete,0-15 años,Extranjeros,Hombres,2020,2.445,02
203,Albacete,0-15 años,Extranjeros,Hombres,2019,2.278,02
204,Albacete,0-15 años,Extranjeros,Mujeres,2021,2.248,02
205,Albacete,0-15 años,Extranjeros,Mujeres,2020,2.191,02
206,Albacete,0-15 años,Extranjeros,Mujeres,2019,2.157,02
207,Albacete,0-15 años,Extranjeros,Ambos sexos,2021,"8,17",02
208,Albacete,0-15 años,Extranjeros,Ambos sexos,2020,"7,92",02
209,Albacete,0-15 años,Extranjeros,Ambos sexos,2019,"7,46",02
210,Albacete,0-15 años,Extranjeros,Hombres,2021,"8,24",02
211,Albacete,0-15 años,Extranjeros,Hombres,2020,"8,04",02
212,Albacete,0-15 años,Extranjeros,Hombres,2019,"7,40",02
213,Albacete,0-15 años,Extranjeros,Mujeres,2021,"8,09",02
214,Albacete,0-15 años,Extranjeros,Mujeres,2020,"7,78",02
215,Albacete,0-15 años,Extranjeros,Mujeres,2019,"7,52",02
216,Albacete,16-64 años,TOTAL,Ambos sexos,2021,253.794,02
217,Albacete,16-64 años,TOTAL,Ambos sexos,2020,254.323,02
218,Albacete,16-64 años,TOTAL,Ambos sexos,2019,253.910,02
219,Albacete,16-64 años,TOTAL,Hombres,2021,129.994,02
220,Albacete,16-64 años,TOTAL,Hombres,2020,130.094,02
221,Albacete,16-64 años,TOTAL,Hombres,2019,129.859,02
222,Albacete,16-64 años,TOTAL,Mujeres,2021,123.800,02
223,Albacete,16-64 años,TOTAL,Mujeres,2020,124.229,02
