,valor,porcentaje,fecha,cod_comunidad,nombre_comunidad,anio,mes,dia
0,17830.239,1,2019-01-01,8744,Ceuta,2019,1,1
1,16019.527,1,2019-02-01,8744,Ceuta,2019,2,1
2,16598.235,1,2019-03-01,8744,Ceuta,2019,3,1
3,15221.094,1,2019-04-01,8744,Ceuta,2019,4,1
4,16753.54,1,2019-05-01,8744,Ceuta,2019,5,1
5,16642.239,1,2019-06-01,8744,Ceuta,2019,6,1
6,18185.252,1,2019-07-01,8744,Ceuta,2019,7,1
7,18656.52,1,2019-08-01,8744,Ceuta,2019,8,1
8,17603.892,1,2019-09-01,8744,Ceuta,2019,9,1
9,17669.152,1,2019-10-01,8744,Ceuta,2019,10,1
10,17157.331,1,2019-11-01,8744,Ceuta,2019,11,1
11,17711.219,1,2019-12-01,8744,Ceuta,2019,12,1
12,17835.113,1,2020-01-01,8744,Ceuta,2020,1,1
13,15770.011,1,2020-02-01,8744,Ceuta,2020,2,1
14,16608.196,1,2020-03-01,8744,Ceuta,2020,3,1
15,15531.111,1,2020-04-01,8744,Ceuta,2020,4,1
16,15827.471,1,2020-05-01,8744,Ceuta,2020,5,1
17,15839.422,1,2020-06-01,8744,Ceuta,2020,6,1
18,17917.496,1,2020-07-01,8744,Ceuta,2020,7,1
19,18096.779,1,2020-08-01,8744,Ceuta,2020,8,1
20,16830.054,1,2020-09-01,8744,Ceuta,2020,9,1
21,16095.768,1,2020-10-01,8744,Ceuta,2020,10,1
22,15792.687,1,2020-11-01,8744,Ceuta,2020,11,1
23,17053.994,1,2020-12-01,8744,Ceuta,2020,12,1
24,18538.656,1,2021-01-01,8744,Ceuta,2021,1,1
25,15215.238,1,2021-02-01,8744,Ceuta,2021,2,1
26,15340.218,1,2021-03-01,8744,Ceuta,2021,3,1
27,15128.393,1,2021-04-01,8744,Ceuta,2021,4,1
28,15515.205,1,2021-05-01,8744,Ceuta,2021,5,1
29,15653.908,1,2021-06-01,8744,Ceuta,2021,6,1
30,17409.528,1,2021-07-01,8744,Ceuta,2021,7,1
31,17829.99,1,2021-08-01,8744,Ceuta,2021,8,1
32,16921.593,1,2021-09-01,8744,Ceuta,2021,9,1
